Title,Gross,Budget,ReleaseDate,MPAARating,RunningTime,Distributor,Source,Genre,CreativeType,Director,RottenTomatoesRating,IMDBRating
The Covenant,23364784,20000000,9/8/2006,PG-13,95,Sony/Screen Gems,Based on Comic/Graphic Novel,Thriller/Suspense,Contemporary Fiction,Renny Harlin,3,4.8
Couples Retreat,109205660,60000000,10/9/2009,PG-13,113,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peter Billingsley,12,5.5
Cradle 2 the Grave,34657731,25000000,2/28/2003,R,101,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,Andrzej Bartkowiak,26,5.4
Crash,54557348,6500000,5/6/2005,R,107,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,Paul Haggis,75,6.1
The Count of Monte Cristo,54228104,40000000,1/25/2002,PG-13,131,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Kevin Reynolds,74,7.6
Clockstoppers,36985501,26000000,3/29/2002,PG,94,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Jonathan Frakes,28,5
The City of Your Final Destination,493296,8300000,4/16/2010,PG-13,114,Hyde Park Films,Based on Book/Short Story,Drama,Contemporary Fiction,James Ivory,40,6.6
Cloudy with a Chance of Meatballs,124870275,100000000,9/18/2009,PG,90,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Phil Lord,86,7.2
Daddy Day Care,104148781,60000000,5/9/2003,PG,92,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,28,5.5
The Black Dahlia,22672813,60000000,9/15/2006,R,121,Universal,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Brian De Palma,33,5.6
Dance Flick,25662155,25000000,5/22/2009,PG-13,83,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Damien Wayans,17,3.4
Daredevil,102543518,80000000,2/14/2003,PG-13,105,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,44,5.5
Dawn of the Dead,58990765,28000000,3/19/2004,R,100,Universal,Remake,Horror,Science Fiction,Zack Snyder,76,7.4
The Great Debaters,30226144,15000000,12/25/2007,PG-13,130,Weinstein Co.,Based on Real Life Events,Drama,Dramatization,Denzel Washington,79,7.6
Dragonfly,30063805,60000000,2/22/2002,PG-13,104,Universal,Original Screenplay,Drama,Fantasy,Tom Shadyac,7,5.8
Live Free or Die Hard,134529403,110000000,6/27/2007,PG-13,128,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Len Wiseman,82,7.5
Disaster Movie,14190901,20000000,8/29/2008,PG-13,88,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2,1.7
District 9,115646235,30000000,8/14/2009,R,111,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Neill Blomkamp,91,8.3
Domestic Disturbance,45207112,53000000,11/2/2001,PG-13,89,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Harold Becker,24,5.3
Domino,10169202,50000000,10/14/2005,R,133,New Line,Based on Real Life Events,Action,Dramatization,Tony Scott,19,5.9
The Departed,133311000,90000000,10/6/2006,R,152,Warner Bros.,Remake,Drama,Contemporary Fiction,Martin Scorsese,93,8.5
Death Race,36316032,65000000,8/22/2008,R,105,Universal,Remake,Action,Science Fiction,Paul Anderson,41,6.6
Drag Me To Hell,42100625,30000000,5/29/2009,PG-13,99,Universal,Original Screenplay,Horror,Fantasy,Sam Raimi,92,7.1
Driven,32616869,72000000,4/27/2001,PG-13,117,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,13,4.2
Dreamcatcher,33685268,68000000,3/21/2003,R,136,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Lawrence Kasdan,30,5.3
Dreamgirls,103365956,75000000,12/15/2006,PG-13,130,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Bill Condon,78,6.6
Disturbia,80209692,20000000,4/13/2007,PG-13,104,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,68,7
Death at a Funeral,8580428,20000000,8/17/2007,R,90,MGM,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,61,5.1
The Dukes of Hazzard,80270227,53000000,8/5/2005,PG-13,105,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,Jay Chandrasekhar,13,4.7
Down to Earth,64172251,30000000,2/16/2001,PG-13,87,Paramount Pictures,Remake,Comedy,Fantasy,Paul Weitz,19,5
Eagle Eye,101440743,80000000,9/26/2008,PG-13,117,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,27,6.6
Elf,173398518,32000000,11/7/2003,PG,95,New Line,Original Screenplay,Comedy,Kids Fiction,Jon Favreau,84,6.8
Once Upon a Time in Mexico,56330657,29000000,9/12/2003,R,102,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,68,6.2
Enchanted,127706877,85000000,11/21/2007,PG,108,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Fantasy,Kevin Lima,92,7.5
Enemy at the Gates,51396781,85000000,3/16/2001,R,131,Paramount Pictures,Based on Real Life Events,Drama,Historical Fiction,Jean-Jacques Annaud,53,7.4
Enough,39177215,38000000,5/24/2002,PG-13,115,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21,6.5
Epic Movie,39739367,20000000,1/26/2007,PG-13,86,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2,2.2
Elizabethtown,26850426,54000000,10/14/2005,PG-13,133,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28,6.4
Eternal Sunshine of the Spotless Mind,34366518,20000000,3/19/2004,R,108,Focus Features,Based on Book/Short Story,Comedy,Fantasy,Michel Gondry,93,8.5
Evolution,38311134,80000000,6/8/2001,PG-13,102,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,42,5.9
Exit Wounds,51758599,33000000,3/16/2001,R,100,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Andrzej Bartkowiak,33,5.2
The Exorcism of Emily Rose,75072454,18000000,9/9/2005,PG-13,114,Sony/Screen Gems,Based on Real Life Events,Thriller/Suspense,Dramatization,Scott Derrickson,45,6.8
Final Destination 2,46896664,26000000,1/31/2003,R,90,New Line,Original Screenplay,Horror,Fantasy,David R. Ellis,47,6.4
Fantastic Four,154696080,87500000,7/8/2005,PG-13,123,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,27,5.7
2 Fast 2 Furious,127120058,76000000,6/6/2003,PG-13,107,Universal,Based on Magazine Article,Action,Contemporary Fiction,John Singleton,36,5.1
The Fast and the Furious,144512310,38000000,6/22/2001,PG-13,107,Universal,Based on Magazine Article,Action,Contemporary Fiction,Rob Cohen,53,6
Fahrenheit 9/11,119114517,6000000,6/23/2004,R,122,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,83,7.6
From Hell,31598308,35000000,10/19/2001,R,123,20th Century Fox,Based on Comic/Graphic Novel,Thriller/Suspense,Historical Fiction,Albert Hughes,57,6.8
Flushed Away,64665672,149000000,11/3/2006,PG,85,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Sam Fell,72,7
Flyboys,13090630,60000000,9/22/2006,PG-13,139,MGM,Based on Real Life Events,Drama,Dramatization,Tony Bill,33,6.5
Finding Nemo,339714978,94000000,5/30/2003,G,100,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Andrew Stanton,98,8.2
The Fountain,10144010,35000000,11/22/2006,PG-13,96,Warner Bros.,Original Screenplay,Drama,Science Fiction,Darren Aronofsky,51,7.4
The Forbidden Kingdom,52075270,55000000,4/18/2008,PG-13,105,Lionsgate,Based on Book/Short Story,Action,Fantasy,Rob Minkoff,64,6.7
Freedom Writers,36605602,21000000,1/5/2007,PG-13,122,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Richard LaGravenese,69,7.5
