Title,Gross,Budget,ReleaseDate,MPAARating,RunningTime,Distributor,Source,Genre,CreativeType,Director,RottenTomatoesRating,IMDBRating
Stranger Than Fiction,40435190,30000000,11/10/2006,PG-13,112,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Marc Forster,72,7.8
Stuart Little 2,64956806,120000000,7/19/2002,PG,78,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Rob Minkoff,83,5.6
State of Play,37017955,60000000,4/17/2009,PG-13,127,Universal,Based on TV,Thriller/Suspense,Contemporary Fiction,Kevin MacDonald,84,7.3
Step Up,65328121,12000000,8/11/2006,PG-13,98,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Anne Fletcher,19,6.1
Stuck On You,33832741,55000000,12/12/2003,PG-13,118,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,60,5.9
The Sum of All Fears,118471320,68000000,5/31/2002,PG-13,124,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phil Alden Robinson,59,6.3
Surrogates,38577772,80000000,9/25/2009,PG-13,104,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,Jonathan Mostow,39,6.3
Sideways,71502303,17000000,10/22/2004,R,125,Fox Searchlight,Based on Book/Short Story,Drama,Contemporary Fiction,Alexander Payne,97,7.8
Secret Window,47958031,40000000,3/12/2004,PG-13,96,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Fantasy,David Koepp,46,6.5
The Core,31111260,85000000,3/28/2003,PG-13,133,Paramount Pictures,Original Screenplay,Action,Science Fiction,Jon Amiel,42,5.3
The Damned United,449865,6400000,10/9/2009,R,97,Sony Pictures Classics,Based on Factual Book/Article,Drama,Dramatization,Tom Hooper,94,7.5
The Tale of Despereaux,50877145,60000000,12/19/2008,G,93,Universal,Based on Book/Short Story,Adventure,Kids Fiction,Sam Fell,55,6.1
Tears of the Sun,43632458,75000000,3/7/2003,R,121,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,34,6.4
Transformers,319246193,151000000,7/3/2007,PG-13,140,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,57,7.3
Transformers: Revenge of the Fallen,402111870,210000000,6/24/2009,PG-13,149,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,20,6
The Fog,29511112,18000000,10/14/2005,PG-13,101,Sony Pictures,Remake,Horror,Contemporary Fiction,Rupert Wainwright,5,3.3
The One,43905746,49000000,11/2/2001,PG-13,87,Sony Pictures,Original Screenplay,Action,Science Fiction,James Wong,13,5.6
The League of Extraordinary Gentlemen,66465204,78000000,7/11/2003,PG-13,110,20th Century Fox,Based on Comic/Graphic Novel,Adventure,Super Hero,Stephen Norrington,17,5.5
The Mist,25593755,13000000,11/21/2007,R,127,MGM,Based on Book/Short Story,Horror,Science Fiction,Frank Darabont,73,7.4
The Royal Tenenbaums,52353636,28000000,12/14/2001,R,110,Walt Disney Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Wes Anderson,79,7.6
The Day After Tomorrow,186740799,125000000,5/28/2004,PG-13,124,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,46,6.3
The Town,30980607,37000000,9/17/2010,R,123,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Ben Affleck,84,8.7
Training Day,76261036,45000000,10/5/2001,R,122,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Antoine Fuqua,72,7.6
The Ring,129094024,48000000,10/18/2002,PG-13,115,Dreamworks SKG,Remake,Horror,Contemporary Fiction,Gore Verbinski,71,5.5
The Terminal,77073959,75000000,6/18/2004,PG-13,128,Dreamworks SKG,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,60,7.1
The Transporter,25296447,21000000,10/11/2002,PG-13,92,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Corey Yuen,53,6.6
Tropic Thunder,110461307,90000000,8/13/2008,R,106,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,83,7.2
Troy,133298577,150000000,5/14/2004,R,163,Warner Bros.,Based on Book/Short Story,Action,Historical Fiction,Wolfgang Petersen,54,7
xXx,141930000,70000000,8/9/2002,PG-13,124,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,48,5.5
Twisted,25195050,50000000,2/27/2004,R,97,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Philip Kaufman,2,4.8
Twilight,192769854,37000000,11/21/2008,PG-13,120,Summit Entertainment,Based on Book/Short Story,Drama,Fantasy,Catherine Hardwicke,50,6.1
Undercover Brother,38230435,25000000,5/31/2002,PG-13,86,Universal,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,76,5.7
Underworld,51970690,22000000,9/19/2003,R,121,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Len Wiseman,30,6.7
Unfaithful,52752475,50000000,5/8/2002,R,123,20th Century Fox,Remake,Drama,Contemporary Fiction,Adrian Lyne,48,6.6
Up,293004164,175000000,5/29/2009,PG,96,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Pete Docter,98,8.4
Valkyrie,83077470,75000000,12/25/2008,PG-13,120,United Artists,Based on Real Life Events,Thriller/Suspense,Dramatization,Bryan Singer,61,7.3
In the Valley of Elah,6777741,23000000,9/14/2007,R,120,Warner Bros.,Based on Real Life Events,Drama,Dramatization,Paul Haggis,73,7.4
Van Helsing,120150546,170000000,5/7/2004,PG-13,132,Universal,Original Screenplay,Action,Historical Fiction,Stephen Sommers,22,5.5
The Village,114197520,71682975,7/30/2004,PG-13,108,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,42,6.6
Vanilla Sky,100614858,70000000,12/14/2001,R,136,Paramount Pictures,Remake,Thriller/Suspense,Contemporary Fiction,Cameron Crowe,39,6.9
WALL-E,223808164,180000000,6/27/2008,G,97,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Andrew Stanton,96,8.5
White Chicks,69148997,20000000,6/23/2004,PG-13,109,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,15,5
The Wedding Planner,60400856,28000000,1/26/2001,PG-13,103,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Adam Shankman,16,4.8
Taking Woodstock,7460204,29000000,8/26/2009,R,120,Focus Features,Based on Book/Short Story,Drama,Dramatization,Ang Lee,48,6.8
We Own the Night,28563179,28000000,10/12/2007,R,117,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,James Gray,56,7
What a Girl Wants,35990505,25000000,4/4/2003,PG,105,Warner Bros.,Remake,Comedy,Contemporary Fiction,Dennie Gordon,34,5.7
Welcome Home Roscoe Jenkins,42436517,27500000,2/8/2008,PG-13,114,Universal,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,23,4.5
The White Countess,1669971,16000000,12/21/2005,PG-13,135,Sony Pictures Classics,Original Screenplay,Drama,Historical Fiction,James Ivory,51,6.5
Where the Wild Things Are,77233467,100000000,10/16/2009,PG,100,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Spike Jonze,73,7.2
Windtalkers,40914068,115000000,6/14/2002,R,134,MGM,Original Screenplay,Action,Historical Fiction,John Woo,32,5.8
Walk the Line,119519402,29000000,11/18/2005,PG-13,80,20th Century Fox,Based on Real Life Events,Drama,Dramatization,James Mangold,82,7.9
A Walk to Remember,41227069,11000000,1/25/2002,PG,102,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Adam Shankman,28,7.1
Wanted,134508551,75000000,6/27/2008,R,110,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,Timur Bekmambetov,71,6.4
The Wrestler,26236603,6000000,12/17/2008,R,109,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Darren Aronofsky,98,8.2
Walking Tall,46213824,56000000,4/2/2004,PG-13,87,MGM,Remake,Action,Contemporary Fiction,Kevin Bray,25,6
Year One,43337279,60000000,6/19/2009,PG-13,97,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,Harold Ramis,14,5
Yes Man,97690976,50000000,12/19/2008,PG-13,104,Warner Bros.,Based on Book/Short Story,Comedy,Contemporary Fiction,Peyton Reed,43,7
You Kill Me,2426851,4000000,6/22/2007,R,92,IFC Films,Original Screenplay,Black Comedy,Contemporary Fiction,John Dahl,78,6.7
Zoolander,45172250,28000000,9/28/2001,PG-13,89,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,62,6.4
Zombieland,75590286,23600000,10/2/2009,R,87,Sony Pictures,Original Screenplay,Comedy,Fantasy,Ruben Fleischer,89,7.8
Zack and Miri Make a Porno,31452765,24000000,10/31/2008,R,101,Weinstein Co.,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,65,7
The Legend of Zorro,45575336,80000000,10/28/2005,PG,129,Sony Pictures,Remake,Adventure,Historical Fiction,Martin Campbell,26,5.7
